${formPrimaryReason},${formSecondaryReason}
AGI Account,Billing
AGI Account,Invoice Adjustments
AGI Account,Lost Checks
AGI Account,Misapplied Funds
Contracting,Broker Registration
Contracting,License Update/Add
Everwell,Life Event Error
Everwell,Plan Year Error
Everwell,System Issues Ticket Is Filed
Field Compensation,1099 Reprint
Field Compensation,Address Change
Field Compensation,Commission Statement Error
Field Compensation,Direct Deposit
Field Compensation,Projected Renewals
Field Compensation,Reinstatement Under 30 Days
Field Compensation,Schedule A
Life Policy Services,Loans-Whole Life
New Business,Continuous Coverage
New Business,Pended Business
Payroll Account,Billing
Payroll Account,Invoice Adjustments
Payroll Account,Lost Checks
Payroll Account,Misapplied Funds
Policy Services,Continuous Coverage
Policy Services,Misapplied Funds
Policy Services,Refund Checks
